turn,individual_sum,community_sum,total_sum,cooperation_avg,lambda_avg
78,0.5907322251822813,0.19818019844119025,0.7889124236234715,0.1930340861402421,0.20441666666666666
79,0.6273474240101696,0.1998262498726313,0.827173673882801,0.19563358418948232,0.2065
80,0.6749774240101662,0.20588945524113178,0.8808668792512981,0.19825420086736134,0.20858333333333334
81,0.7831874240101675,0.17988663684344383,0.9630740608536115,0.20067838500510202,0.21055000000000001
82,0.6541574240101697,0.20394022111701643,0.8580976451271862,0.20324666361127905,0.2126
83,0.6456274240101696,0.20606485594336696,0.8516922799535367,0.20580953465312324,0.21465
84,0.4704674240101696,0.21470267073133398,0.6851700947415037,0.20841024116476828,0.21671666666666667
85,0.5827574240101688,0.14077840592926455,0.7235358299394333,0.21050398507335674,0.2184
86,0.43876742401016994,0.19714163610869007,0.63590906011886,0.21295371594447424,0.22038333333333335
87,0.5516374240101691,0.20731741168882153,0.7589548356989907,0.21545187649958905,0.22236666666666668
88,0.45282742401016957,0.20506899529714517,0.6578964193073147,0.21791708724459438,0.22431666666666664
89,0.6808814395991406,0.2307793360148351,0.9116607756139755,0.2205297394402211,0.22641666666666668
90,0.6594298142028893,0.21654835849175386,0.8759781726946431,0.22303153497051953,0.22841666666666668
91,0.7528846080176714,0.21906068941616152,0.971945297433833,0.22553093612547628,0.23043333333333335
92,0.7584788305208127,0.22157389262071442,0.980052723141527,0.2280279206433777,0.23243333333333335
93,0.5947675845412395,0.19947584239829957,0.7942434269395391,0.23036795085090397,0.23430000000000004
94,0.6077473307655059,0.22708801179405957,0.8348353425595655,0.2328641742055508,0.23629999999999998
95,0.606258333481909,0.23788628848625068,0.8441446219681596,0.23540928401124403,0.23831666666666665
96,0.5341934168408611,0.23626203371646232,0.7704554505573233,0.2379256225410972,0.24031666666666665
97,0.5155320172647028,0.23837910729113032,0.7539111245558331,0.24043663608334484,0.24233333333333332
98,0.6176906276191892,0.23817412873892643,0.8558647563581157,0.2429281564941904,0.24431666666666665
99,0.442635078916945,0.2492041389088429,0.6918392178257877,0.2454686566429695,0.24639999999999998
100,0.44065507891694494,0.24655417718149852,0.6872092560984434,0.24797462323668817,0.24841666666666665
101,0.7599050789169433,0.22026270636392947,0.9801677852808728,0.25030471595003734,0.2502166666666667
102,0.6240450789169444,0.2720835234995015,0.8961286024164459,0.2529283884651969,0.25235
103,0.44754507891693107,0.2608975906375266,0.7084426695544576,0.2554661548456558,0.2543666666666667
104,0.45020201726469766,0.2575631458871894,0.707765163151887,0.25796584874899053,0.2563666666666667
105,0.5414120172646957,0.2634069948228742,0.8048190120875699,0.2604819830445831,0.2583666666666667
106,0.45346201726469754,0.26564419859127386,0.7191062158559713,0.2629931714692013,0.2604
107,0.46101201726469754,0.2709532880734812,0.7319653053381787,0.2655172924974303,0.26243333333333335
108,0.4504620172646976,0.273884576558469,0.7243465938231665,0.2680403113429563,0.26445
109,0.6863532793002954,0.28444553575034515,0.9707988150506406,0.27060614912886444,0.2664666666666667
110,0.7581731042423946,0.2803873480933293,1.038560452335724,0.27313021594922565,0.2685
111,0.7342919009972758,0.28254495690702647,1.0168368579043023,0.2756486069131262,0.2705166666666667
112,0.7015068538153024,0.28469825801344467,0.986205111828747,0.2781613360489895,0.27253333333333335
113,0.5291591760655089,0.2897481079934602,0.8189072840589691,0.28068476673440823,0.27455
114,0.5086534550003315,0.2924845555410398,0.8011380105413715,0.28320570546631946,0.27655
115,0.4806246076224258,0.17971227508672194,0.6603368827091478,0.2850780553354337,0.2780666666666667
116,0.4317632440686053,0.2723986929452617,0.704161937013867,0.28745605669193075,0.27996666666666664
117,0.4844287730390628,0.2785731830397055,0.7630019560787684,0.2898521710885176,0.28186666666666665
118,0.47415877303906284,0.280496361589251,0.7546551346283137,0.29224258740272696,0.28378333333333333
119,0.7900272038502969,0.28610975591205157,1.0761369597623485,0.29464764564225027,0.2857166666666667
120,0.49421381074028475,0.2982860923488269,0.7924999030891117,0.2971030227024703,0.28768333333333335
121,0.6423938107402852,0.28869074010084544,0.9310845508411307,0.29948914167005153,0.2896166666666667
122,0.5164838107402813,0.2966862072809545,0.8131700180212359,0.30190257555496636,0.2915166666666667
123,0.4337738107402852,0.30573814910425917,0.7395119598445443,0.30434857232570284,0.29346666666666665
124,0.4411638107402852,0.30157206655097946,0.7427358772912647,0.30675537768666344,0.29541666666666666
125,0.5241838107402834,0.30793448299113846,0.832118293731422,0.3091799678956571,0.29733333333333334
126,0.43614381074028524,0.310132295621948,0.7462761063622334,0.31159983818385095,0.2992666666666667
127,0.4436038107402853,0.31587073370333485,0.7594745444436201,0.31403383226628995,0.3012333333333333
128,0.43296381074028534,0.3188758439895854,0.7518396547298707,0.31646722219667417,0.30316666666666664
129,0.9165773514319857,0.3203873882609691,1.2369647396929548,0.31889211432637116,0.30511666666666665
130,0.874306527625619,0.3248373951963183,1.1991439228219374,0.3213240000321598,0.30706666666666665
131,0.6150008178060956,0.325009935098738,0.9400107529048337,0.32374035378558563,0.30898333333333333
132,0.6136955910928821,0.32684039832857825,0.9405359894214604,0.3261499933080377,0.31093333333333334
133,0.4927726348628247,0.32808933023029274,0.8208619650931175,0.3285499591932321,0.31283333333333335
134,0.432869398614529,0.3311710758336007,0.7640404744481298,0.33094979656735646,0.31475000000000003
135,0.5244472004691786,0.3630634098397586,0.8875106103089372,0.333498077074551,0.3168
136,0.4908530802255545,0.34145642162250306,0.8323095018480575,0.3359177772222059,0.3187166666666667
137,0.5881421860059316,0.35065573574921605,0.9387979217551476,0.338368332783946,0.3206833333333333
138,0.46807218600593414,0.3518367001908339,0.819908886196768,0.34080840750363023,0.3226333333333333
139,0.5402698662918939,0.3627994268399734,0.9030692931318673,0.3432877896944398,0.32463333333333333
140,0.5126295231519331,0.32674711205069656,0.8393766352026296,0.3455679824962143,0.32644999999999996
141,0.6455195231519342,0.33979007078151025,0.9853095939334444,0.34789923413651946,0.32831666666666665
142,0.4641095231519323,0.36750979023527364,0.8316193133872061,0.3503546025370822,0.33026666666666665
143,0.4281195231519327,0.35930887128984124,0.7874283944417739,0.352752461978116,0.3322
144,0.5018595231519337,0.3609174146259854,0.8627769377779191,0.35514250002151965,0.3341
145,0.5245595231519319,0.3818281795422775,0.9063877026942094,0.3576207217930139,0.3361
